Geneid	EBF1-dTAG_N_0h_rep1	EBF1-dTAG_N_0h_rep2	EBF1-dTAG_N_0h_rep3	EBF1-dTAG_N_0h_rep4	EBF1-dTAG_N_6h_rep1	EBF1-dTAG_N_6h_rep2	EBF1-dTAG_N_6h_rep3	EBF1-dTAG_N_6h_rep4
ENSMUSG00000064688.1	0	0	0	0	0	0	0	0
ENSMUSG00000103482.1	0	0	0	0	0	0	0	0
ENSMUSG00000104498.1	0	0	0	0	0	0	0	0
ENSMUSG00000104313.1	0	0	0	0	0	0	0	0
ENSMUSG00000102865.1	0	0	0	0	0	0	0	0
ENSMUSG00000102321.1	0	0	0	0	0	0	0	0
ENSMUSG00000091318.2	0	0	0	0	0	0	0	0
ENSMUSG00000089489.1	0	0	0	0	0	0	0	0
ENSMUSG00000104433.1	0	0	0	0	0	0	0	0
ENSMUSG00000089395.1	0	0	0	0	0	0	0	0
ENSMUSG00000102926.1	0	0	0	0	0	0	0	0
ENSMUSG00000100497.1	0	0	0	0	0	0	0	0
ENSMUSG00000102917.1	0	0	0	0	0	0	0	0
ENSMUSG00000100481.1	1	0	6	2	3	2	0	2
ENSMUSG00000100590.1	0	1	0	1	0	0	0	0
ENSMUSG00000088750.1	0	0	0	0	0	0	0	0
ENSMUSG00000104230.1	0	0	0	0	0	0	0	0
ENSMUSG00000101754.2	0	0	0	0	0	0	0	0
ENSMUSG00000065223.1	0	0	0	0	2	0	0	0
ENSMUSG00000100318.2	0	0	3	0	0	9	1	8
